instance_name,timeout,gate_out,depth_out,num_swaps,beta,gamma,delta,order,seed
rd53_130,10,1207,631,164,5,10,0.5,6;0;1;4;5;3;2,7
rd53_130,10,1221,637,178,5,10,0.5,6;0;1;4;5;3;2,9
rd53_130,10,1239,639,196,5,10,0.5,3;1;2;5;4;6;0,3
rd53_130,10,1196,619,153,5,10,0.5,3;1;2;5;4;6;0,2
rd53_130,10,1197,634,154,5,10,0.5,3;1;2;5;4;6;0,1
rd53_130,10,1180,626,137,5,10,0.5,3;1;2;5;4;6;0,6
rd53_130,10,1200,636,157,5,10,0.5,3;1;2;5;4;6;0,5
rd53_130,10,1225,635,182,5,10,0.5,3;1;2;5;4;6;0,4
rd53_130,10,1174,628,131,5,10,0.5,3;1;2;5;4;6;0,7
rd53_130,10,1228,637,185,5,10,0.5,3;1;2;5;4;6;0,8
rd53_130,10,1228,634,185,5,10,0.5,3;1;2;5;4;6;0,10
rd53_130,10,1190,635,147,5,10,0.5,3;1;2;5;4;6;0,9
rd53_130,10,1194,630,151,5,10,0.5,5;0;2;4;3;1;6,1
rd53_130,10,1217,631,174,5,10,0.5,5;0;2;4;3;1;6,3
rd53_130,10,1202,640,159,5,10,0.5,5;0;2;4;3;1;6,4
rd53_130,10,1191,629,148,5,10,0.5,5;0;2;4;3;1;6,2
rd53_130,10,1171,625,128,5,10,0.5,5;0;2;4;3;1;6,5
rd53_130,10,1172,633,129,5,10,0.5,5;0;2;4;3;1;6,7
rd53_130,10,1217,634,174,5,10,0.5,5;0;2;4;3;1;6,6
rd53_130,10,1222,635,179,5,10,0.5,5;0;2;4;3;1;6,9
rd53_130,10,1180,635,137,5,10,0.5,5;0;2;4;3;1;6,8
rd53_130,10,1171,626,128,5,10,0.5,5;0;2;4;3;1;6,10
rd53_130,10,1158,627,115,5,10,0.5,0;6;2;5;4;1;3,1
rd53_130,10,1201,632,158,5,10,0.5,0;6;2;5;4;1;3,3
rd53_130,10,1210,633,167,5,10,0.5,0;6;2;5;4;1;3,5
rd53_130,10,1223,637,180,5,10,0.5,0;6;2;5;4;1;3,4
rd53_130,10,1178,626,135,5,10,0.5,0;6;2;5;4;1;3,2
rd53_130,10,1172,624,129,5,10,0.5,0;6;2;5;4;1;3,6
rd53_130,10,1214,631,171,5,10,0.5,0;6;2;5;4;1;3,7
rd53_130,10,1190,633,147,5,10,0.5,0;6;2;5;4;1;3,8
rd53_130,10,1210,637,167,5,10,0.5,0;6;2;5;4;1;3,9
rd53_130,10,1236,634,193,5,10,0.5,0;6;2;5;4;1;3,10
rd53_130,10,1251,637,208,5,10,0.5,5;2;4;6;3;1;0,1
rd53_130,10,1244,634,201,5,10,0.5,5;2;4;6;3;1;0,4
rd53_130,10,1226,636,183,5,10,0.5,5;2;4;6;3;1;0,3
rd53_130,10,1237,639,194,5,10,0.5,5;2;4;6;3;1;0,5
rd53_130,10,1239,639,196,5,10,0.5,5;2;4;6;3;1;0,6
rd53_130,10,1229,633,186,5,10,0.5,5;2;4;6;3;1;0,8
rd53_130,10,1211,635,168,5,10,0.5,5;2;4;6;3;1;0,7
rd53_130,10,1238,633,195,5,10,0.5,5;2;4;6;3;1;0,10
rd53_130,10,1213,639,170,5,10,0.5,5;2;4;6;3;1;0,2
rd53_130,10,1251,632,208,5,10,0.5,5;2;4;6;3;1;0,9
rd53_130,10,1176,626,133,5,10,0.5,6;4;5;3;0;2;1,1
rd53_130,10,1206,633,163,5,10,0.5,6;4;5;3;0;2;1,4
rd53_130,10,1185,629,142,5,10,0.5,6;4;5;3;0;2;1,5
rd53_130,10,1204,633,161,5,10,0.5,6;4;5;3;0;2;1,2
rd53_130,10,1217,627,174,5,10,0.5,6;4;5;3;0;2;1,3
rd53_130,10,1223,627,180,5,10,0.5,6;4;5;3;0;2;1,6
rd53_130,10,1240,629,197,5,10,0.5,6;4;5;3;0;2;1,8
rd53_130,10,1229,631,186,5,10,0.5,6;4;5;3;0;2;1,7
rd53_130,10,1173,626,130,5,10,0.5,6;4;5;3;0;2;1,10
rd53_130,10,1214,633,171,5,10,0.5,6;4;5;3;0;2;1,9
rd53_130,10,1181,629,138,5,10,0.5,6;5;0;3;2;1;4,1
rd53_130,10,1182,635,139,5,10,0.5,6;5;0;3;2;1;4,2
rd53_130,10,1223,641,180,5,10,0.5,6;5;0;3;2;1;4,4
rd53_130,10,1201,643,158,5,10,0.5,6;5;0;3;2;1;4,5
rd53_130,10,1179,635,136,5,10,0.5,6;5;0;3;2;1;4,6
